pulocationid,dolocationid,tmode,duration,price,w10000,w15000,w20000,w25000,w30000,w35000,w40000,w45000,w50000,w60000,w75000,w100000,w125000,w150000,w200000,w250000
3,7,2,69,5.5,2,3,6,3,1,2,4,6,5,10,12,24,16,9,9,2
3,7,3,47.88095238,43.15714286,2,3,6,3,1,2,4,6,5,10,12,24,16,9,9,2
3,7,8,39.20134576,12.7216,2,3,6,3,1,2,4,6,5,10,12,24,16,9,9,2
3,18,2,30,2.75,106,94,117,143,122,108,142,95,83,233,335,418,264,133,102,97
3,18,3,15.24,12.9,106,94,117,143,122,108,142,95,83,233,335,418,264,133,102,97
3,18,5,65.06666667,0,106,94,117,143,122,108,142,95,83,233,335,418,264,133,102,97
3,18,8,16.13537898,7.432,106,94,117,143,122,108,142,95,83,233,335,418,264,133,102,97
3,20,2,36,2.75,18,17,30,25,35,31,30,17,19,54,59,89,54,24,44,15
3,20,3,9.144444444,10.16666667,18,17,30,25,35,31,30,17,19,54,59,89,54,24,44,15
3,20,5,65.18333333,0,18,17,30,25,35,31,30,17,19,54,59,89,54,24,44,15
3,20,8,11.63387492,6.57776,18,17,30,25,35,31,30,17,19,54,59,89,54,24,44,15
3,24,2,62,8.25,10,1,4,34,26,22,27,8,21,40,56,64,64,44,50,24
3,24,8,39.8372549,11.72294444,10,1,4,34,26,22,27,8,21,40,56,64,64,44,50,24
3,31,2,34,2.75,0,2,0,2,4,1,4,1,1,2,4,2,8,1,3,1
3,31,5,52.5,0,0,2,0,2,4,1,4,1,1,2,4,2,8,1,3,1
3,31,8,11.29270264,6.456564541,0,2,0,2,4,1,4,1,1,2,4,2,8,1,3,1
3,32,2,11,2.75,208,341,563,542,472,435,597,449,317,910,938,1392,978,627,712,510
3,32,3,6.216111111,6.183333333,208,341,563,542,472,435,597,449,317,910,938,1392,978,627,712,510
3,32,5,25.06666667,0,208,341,563,542,472,435,597,449,317,910,938,1392,978,627,712,510
3,32,8,6.196595291,5.742976,208,341,563,542,472,435,597,449,317,910,938,1392,978,627,712,510
3,41,2,51,5.5,4,7,24,23,30,30,23,15,8,44,41,66,36,25,29,10
3,41,3,34.26666667,31.83333333,4,7,24,23,30,30,23,15,8,44,41,66,36,25,29,10
3,41,8,32.4974848,12.25344,4,7,24,23,30,30,23,15,8,44,41,66,36,25,29,10
3,45,2,78,2.75,5,5,6,8,11,2,11,3,1,7,16,11,12,7,2,0
3,45,8,63.73115079,31.64345483,5,5,6,8,11,2,11,3,1,7,16,11,12,7,2,0
3,46,2,37,5.5,0,0,0,3,4,4,0,1,1,5,6,3,8,13,7,1
3,46,3,12.03333333,16,0,0,0,3,4,4,0,1,1,5,6,3,8,13,7,1
3,46,8,12.43150749,8.251407919,0,0,0,3,4,4,0,1,1,5,6,3,8,13,7,1
3,51,2,24,2.75,99,161,298,276,388,306,370,228,169,524,663,954,651,494,430,274
3,51,3,11.45246914,10.53703704,99,161,298,276,388,306,370,228,169,524,663,954,651,494,430,274
3,51,5,41.08333333,0,99,161,298,276,388,306,370,228,169,524,663,954,651,494,430,274
3,51,8,10.59667533,6.583563636,99,161,298,276,388,306,370,228,169,524,663,954,651,494,430,274
3,60,2,26,2.75,6,3,10,13,18,10,10,7,8,35,47,49,39,33,29,18
3,60,5,99.21666667,0,6,3,10,13,18,10,10,7,8,35,47,49,39,33,29,18
3,60,8,17.45857267,7.663810435,6,3,10,13,18,10,10,7,8,35,47,49,39,33,29,18
3,68,2,76,8.25,8,1,1,4,4,2,1,1,3,10,11,10,6,8,5,1
3,68,8,55.35259857,30.78288,8,1,1,4,4,2,1,1,3,10,11,10,6,8,5,1
3,69,2,47,5.5,4,4,7,14,12,3,8,10,13,22,55,81,58,62,57,68
3,69,3,28.34722222,23.34,4,4,7,14,12,3,8,10,13,22,55,81,58,62,57,68
3,69,8,28.58755649,9.510491429,4,4,7,14,12,3,8,10,13,22,55,81,58,62,57,68
3,78,2,37,5.5,7,8,13,15,15,10,16,13,8,25,35,43,28,8,19,10
3,78,3,27.24583333,20.75,7,8,13,15,15,10,16,13,8,25,35,43,28,8,19,10
3,78,5,78.7,0,7,8,13,15,15,10,16,13,8,25,35,43,28,8,19,10
